Simulation Results - 100 runs
================================================================================

Run   97: Team DPAV: 17962.797 | Feixiao: 9075.313 | MortenaxBlade: 6878.928 | Robin: 1871.117 | HuoHuo: 64.668
Run   98: Team DPAV: 18063.582 | Feixiao: 9535.880 | MortenaxBlade: 6686.156 | Robin: 1706.476 | HuoHuo: 62.300
Run   99: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run  100: Team DPAV: 18063.582 | Feixiao: 9535.880 | MortenaxBlade: 6686.156 | Robin: 1706.476 | HuoHuo: 62.300

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 18515.747
Average Feixiao DPAV: 9630.816
Average MortenaxBlade DPAV: 6866.888
Average Robin DPAV: 1881.790
Average HuoHuo DPAV: 64.053

Min Team DPAV: 17617.629
Max Team DPAV: 19678.368
