Simulation Results - 100 runs
================================================================================

Run   78: Team DPAV: 28876.753 | Ashveil: 19991.249 | MortenaxBlade: 7534.954 | RuanMei: 1119.673 | HuoHuo: 62.096
Run   79: Team DPAV: 29040.277 | Ashveil: 19269.703 | MortenaxBlade: 8459.858 | RuanMei: 1138.034 | HuoHuo: 59.264
Run   80: Team DPAV: 26195.592 | Ashveil: 17390.521 | MortenaxBlade: 7719.069 | RuanMei: 862.211 | HuoHuo: 55.010
Run   81: Team DPAV: 26754.046 | Ashveil: 17275.299 | MortenaxBlade: 8250.687 | RuanMei: 1003.989 | HuoHuo: 57.167
Run   82: Team DPAV: 27004.803 | Ashveil: 17526.055 | MortenaxBlade: 8250.687 | RuanMei: 1003.989 | HuoHuo: 57.167
Run   83: Team DPAV: 29058.561 | Ashveil: 19766.263 | MortenaxBlade: 8111.074 | RuanMei: 978.828 | HuoHuo: 59.264
Run   84: Team DPAV: 28693.358 | Ashveil: 19574.490 | MortenaxBlade: 7898.494 | RuanMei: 1017.978 | HuoHuo: 59.264
Run   85: Team DPAV: 26925.427 | Ashveil: 18664.791 | MortenaxBlade: 7164.136 | RuanMei: 874.586 | HuoHuo: 55.010
Run   86: Team DPAV: 27298.564 | Ashveil: 18533.782 | MortenaxBlade: 7585.251 | RuanMei: 937.912 | HuoHuo: 55.010
Run   87: Team DPAV: 28552.612 | Ashveil: 19303.968 | MortenaxBlade: 7990.133 | RuanMei: 1023.569 | HuoHuo: 62.096
Run   88: Team DPAV: 29128.839 | Ashveil: 19273.087 | MortenaxBlade: 8684.086 | RuanMei: 969.270 | HuoHuo: 59.264
Run   89: Team DPAV: 26030.922 | Ashveil: 17104.288 | MortenaxBlade: 7821.033 | RuanMei: 850.954 | HuoHuo: 62.096
Run   90: Team DPAV: 30396.492 | Ashveil: 20383.631 | MortenaxBlade: 8691.420 | RuanMei: 1121.876 | HuoHuo: 56.432
Run   91: Team DPAV: 25790.973 | Ashveil: 17493.760 | MortenaxBlade: 7111.130 | RuanMei: 967.422 | HuoHuo: 55.010
Run   92: Team DPAV: 28183.252 | Ashveil: 19237.458 | MortenaxBlade: 7707.614 | RuanMei: 982.298 | HuoHuo: 59.264
Run   93: Team DPAV: 29111.517 | Ashveil: 20234.733 | MortenaxBlade: 7546.858 | RuanMei: 1099.048 | HuoHuo: 62.096
Run   94: Team DPAV: 28425.032 | Ashveil: 19547.488 | MortenaxBlade: 7735.843 | RuanMei: 939.305 | HuoHuo: 59.264
Run   95: Team DPAV: 27334.531 | Ashveil: 18367.979 | MortenaxBlade: 7821.435 | RuanMei: 923.204 | HuoHuo: 55.010
Run   96: Team DPAV: 27006.246 | Ashveil: 17595.739 | MortenaxBlade: 8298.422 | RuanMei: 888.015 | HuoHuo: 57.167
Run   97: Team DPAV: 25136.629 | Ashveil: 16456.673 | MortenaxBlade: 7585.251 | RuanMei: 853.085 | HuoHuo: 55.010
Run   98: Team DPAV: 30261.871 | Ashveil: 20078.891 | MortenaxBlade: 8872.264 | RuanMei: 1138.034 | HuoHuo: 59.264
Run   99: Team DPAV: 26195.592 | Ashveil: 17390.521 | MortenaxBlade: 7719.069 | RuanMei: 862.211 | HuoHuo: 55.010
Run  100: Team DPAV: 28546.709 | Ashveil: 19145.631 | MortenaxBlade: 8191.290 | RuanMei: 1010.223 | HuoHuo: 56.432

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 28129.945
Average Ashveil DPAV: 18945.219
Average MortenaxBlade DPAV: 7972.391
Average RuanMei DPAV: 996.213
Average HuoHuo DPAV: 57.561

Min Team DPAV: 25136.629
Max Team DPAV: 30816.551
