Simulation Results - 100 runs
================================================================================

Run   88: Team DPAV: 13774.158 | Feixiao: 6514.596 | MortenaxBlade: 6388.841 | RuanMei: 693.638 | HuoHuo: 80.959
Run   89: Team DPAV: 13753.119 | Feixiao: 6654.445 | MortenaxBlade: 6222.894 | RuanMei: 693.638 | HuoHuo: 80.959
Run   90: Team DPAV: 13254.703 | Feixiao: 6560.278 | MortenaxBlade: 5825.398 | RuanMei: 694.443 | HuoHuo: 78.460
Run   91: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   92: Team DPAV: 12777.703 | Feixiao: 6331.040 | MortenaxBlade: 5596.254 | RuanMei: 675.825 | HuoHuo: 78.460
Run   93: Team DPAV: 13676.922 | Feixiao: 6655.763 | MortenaxBlade: 6145.378 | RuanMei: 693.638 | HuoHuo: 80.959
Run   94: Team DPAV: 13768.907 | Feixiao: 6506.684 | MortenaxBlade: 6388.841 | RuanMei: 693.638 | HuoHuo: 83.619
Run   95: Team DPAV: 13254.703 | Feixiao: 6560.278 | MortenaxBlade: 5825.398 | RuanMei: 694.443 | HuoHuo: 78.460
Run   96: Team DPAV: 12345.745 | Feixiao: 6388.456 | MortenaxBlade: 5105.185 | RuanMei: 675.020 | HuoHuo: 80.959
Run   97: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   98: Team DPAV: 13774.158 | Feixiao: 6514.596 | MortenaxBlade: 6388.841 | RuanMei: 693.638 | HuoHuo: 80.959
Run   99: Team DPAV: 14102.819 | Feixiao: 6443.604 | MortenaxBlade: 6782.922 | RuanMei: 693.638 | HuoHuo: 86.530
Run  100: Team DPAV: 12480.489 | Feixiao: 6440.046 | MortenaxBlade: 5159.091 | RuanMei: 693.638 | HuoHuo: 86.530

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 13433.700
Average Feixiao DPAV: 6511.492
Average MortenaxBlade DPAV: 6054.757
Average RuanMei DPAV: 688.572
Average HuoHuo DPAV: 80.022

Min Team DPAV: 12345.745
Max Team DPAV: 14444.854
