Simulation Results - 100 runs
================================================================================

Run   80: Team DPAV: 58677.273 | Gilgamesh: 33292.008 | Ashveil: 12094.804 | MortenaxBlade: 12500.979 | HuoHuo: 0.000
Run   81: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run   82: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   83: Team DPAV: 56457.333 | Gilgamesh: 33424.574 | Ashveil: 10975.010 | MortenaxBlade: 11309.572 | HuoHuo: 0.000
Run   84: Team DPAV: 58927.696 | Gilgamesh: 32672.926 | Ashveil: 12221.584 | MortenaxBlade: 13285.548 | HuoHuo: 0.000
Run   85: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   86: Team DPAV: 58848.137 | Gilgamesh: 32672.926 | Ashveil: 12195.140 | MortenaxBlade: 13232.434 | HuoHuo: 0.000
Run   87: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   88: Team DPAV: 58791.478 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13168.783 | HuoHuo: 0.000
Run   89: Team DPAV: 58777.653 | Gilgamesh: 32524.917 | Ashveil: 12319.080 | MortenaxBlade: 13175.423 | HuoHuo: 0.000
Run   90: Team DPAV: 56655.741 | Gilgamesh: 31128.799 | Ashveil: 11979.268 | MortenaxBlade: 12794.738 | HuoHuo: 0.000
Run   91: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   92: Team DPAV: 59141.337 | Gilgamesh: 32138.214 | Ashveil: 12225.078 | MortenaxBlade: 14030.407 | HuoHuo: 0.000
Run   93: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   94: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run   95: Team DPAV: 66531.284 | Gilgamesh: 39511.786 | Ashveil: 12212.680 | MortenaxBlade: 14059.179 | HuoHuo: 0.000
Run   96: Team DPAV: 59012.626 | Gilgamesh: 32672.926 | Ashveil: 12408.319 | MortenaxBlade: 13183.744 | HuoHuo: 0.000
Run   97: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   98: Team DPAV: 58860.085 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13237.390 | HuoHuo: 0.000
Run   99: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run  100: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 58092.985
Average Gilgamesh DPAV: 32757.630 Percentage: 56.388%
Average Ashveil DPAV: 11897.025 Percentage: 20.479%
Average MortenaxBlade DPAV: 12684.792 Percentage: 21.835%
Average HuoHuo DPAV: 0.000 Percentage: 0.000%

Min Team DPAV: 53228.628
Max Team DPAV: 67568.492
