Simulation Results - 100 runs
================================================================================

Run   87: Team DPAV: 30214.299 | Ashveil: 25259.664 | MortenaxBlade: 4795.850 | Sunday: 0.000 | HuoHuo: 22.546
Run   88: Team DPAV: 36402.889 | Ashveil: 30624.656 | MortenaxBlade: 5599.288 | Sunday: 0.000 | HuoHuo: 22.546
Run   89: Team DPAV: 35421.900 | Ashveil: 29649.742 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   90: Team DPAV: 35545.648 | Ashveil: 29767.538 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   91: Team DPAV: 36861.652 | Ashveil: 30411.814 | MortenaxBlade: 6270.893 | Sunday: 0.000 | HuoHuo: 22.546
Run   92: Team DPAV: 34769.033 | Ashveil: 29000.074 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   93: Team DPAV: 35462.882 | Ashveil: 29684.772 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   94: Team DPAV: 36002.938 | Ashveil: 30233.979 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   95: Team DPAV: 34775.603 | Ashveil: 29024.746 | MortenaxBlade: 5592.072 | Sunday: 0.000 | HuoHuo: 22.546
Run   96: Team DPAV: 35180.396 | Ashveil: 29408.238 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   97: Team DPAV: 34073.184 | Ashveil: 28900.625 | MortenaxBlade: 5033.934 | Sunday: 0.000 | HuoHuo: 22.546
Run   98: Team DPAV: 33286.600 | Ashveil: 28325.890 | MortenaxBlade: 4801.925 | Sunday: 0.000 | HuoHuo: 22.546
Run   99: Team DPAV: 35633.785 | Ashveil: 29855.675 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run  100: Team DPAV: 35633.785 | Ashveil: 29855.675 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 35227.106
Average Ashveil DPAV: 29548.701
Average MortenaxBlade DPAV: 5512.967
Average Sunday DPAV: 0.000
Average HuoHuo DPAV: 22.546

Min Team DPAV: 30214.299
Max Team DPAV: 36861.652
