Simulation Results - 100 runs
================================================================================

Run   81: Team DPAV: 48097.989 | Sparxie: 856.681 | Sparkle: 0.000 | YaoGuang: 174.686 | HuoHuo: 0.000
Run   82: Team DPAV: 46276.383 | Sparxie: -1527.132 | Sparkle: 0.000 | YaoGuang: -294.474 | HuoHuo: 0.000
Run   83: Team DPAV: 46117.634 | Sparxie: -277.789 | Sparkle: 0.000 | YaoGuang: 119.040 | HuoHuo: 0.000
Run   84: Team DPAV: 43620.584 | Sparxie: -2126.477 | Sparkle: 0.000 | YaoGuang: -370.516 | HuoHuo: -0.058
Run   85: Team DPAV: 44880.795 | Sparxie: 1186.952 | Sparkle: 0.000 | YaoGuang: 73.265 | HuoHuo: -0.006
Run   86: Team DPAV: 46387.471 | Sparxie: 1351.255 | Sparkle: 0.000 | YaoGuang: 155.358 | HuoHuo: 0.064
Run   87: Team DPAV: 45892.327 | Sparxie: -774.280 | Sparkle: 0.000 | YaoGuang: 279.135 | HuoHuo: 0.000
Run   88: Team DPAV: 46982.775 | Sparxie: 1138.356 | Sparkle: 0.000 | YaoGuang: -47.908 | HuoHuo: 0.000
Run   89: Team DPAV: 44101.353 | Sparxie: -2641.809 | Sparkle: 0.000 | YaoGuang: -239.612 | HuoHuo: 0.000
Run   90: Team DPAV: 43585.371 | Sparxie: -532.049 | Sparkle: 0.000 | YaoGuang: 16.911 | HuoHuo: -0.844
Run   91: Team DPAV: 44618.432 | Sparxie: 1195.820 | Sparkle: 0.000 | YaoGuang: -163.604 | HuoHuo: 0.844
Run   92: Team DPAV: 44560.799 | Sparxie: -132.683 | Sparkle: 0.000 | YaoGuang: 75.050 | HuoHuo: 0.000
Run   93: Team DPAV: 46307.946 | Sparxie: 1613.385 | Sparkle: 0.000 | YaoGuang: 133.762 | HuoHuo: 0.000
Run   94: Team DPAV: 48400.335 | Sparxie: 1794.508 | Sparkle: 0.000 | YaoGuang: 297.880 | HuoHuo: 0.000
Run   95: Team DPAV: 46408.876 | Sparxie: -1658.454 | Sparkle: 0.000 | YaoGuang: -333.004 | HuoHuo: 0.000
Run   96: Team DPAV: 44349.236 | Sparxie: -2097.157 | Sparkle: 0.000 | YaoGuang: 37.517 | HuoHuo: 0.000
Run   97: Team DPAV: 44255.050 | Sparxie: 152.923 | Sparkle: 0.000 | YaoGuang: -247.051 | HuoHuo: -0.058
Run   98: Team DPAV: 46186.155 | Sparxie: 1602.228 | Sparkle: 0.000 | YaoGuang: 328.819 | HuoHuo: 0.058
Run   99: Team DPAV: 45631.377 | Sparxie: -420.209 | Sparkle: 0.000 | YaoGuang: -134.569 | HuoHuo: 0.000
Run  100: Team DPAV: 45506.006 | Sparxie: -157.720 | Sparkle: 0.000 | YaoGuang: 32.348 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 45522.785
Average Sparxie DPAV: 385.783 Percentage: 0.847%
Average Sparkle DPAV: 0.000 Percentage: 0.000%
Average YaoGuang DPAV: 68.536 Percentage: 0.151%
Average HuoHuo DPAV: 0.255 Percentage: 0.001%

Min Team DPAV: 40825.744
Max Team DPAV: 48400.335
