Simulation Results - 100 runs
================================================================================

Run   88: Team DPAV: 36392.761 | Evanescia: 29373.250 | Tribbie: 3421.441 | HuoHuo: 27.589 | ElationMC: 2657.542
Run   89: Team DPAV: 35743.543 | Evanescia: 28720.749 | Tribbie: 3404.383 | HuoHuo: 28.969 | ElationMC: 2672.215
Run   90: Team DPAV: 35495.337 | Evanescia: 28484.098 | Tribbie: 3448.880 | HuoHuo: 28.969 | ElationMC: 2619.022
Run   91: Team DPAV: 35143.390 | Evanescia: 28163.118 | Tribbie: 3410.237 | HuoHuo: 27.595 | ElationMC: 2581.678
Run   92: Team DPAV: 36239.189 | Evanescia: 29324.149 | Tribbie: 3403.687 | HuoHuo: 28.969 | ElationMC: 2568.016
Run   93: Team DPAV: 36060.704 | Evanescia: 28918.367 | Tribbie: 3438.344 | HuoHuo: 28.177 | ElationMC: 2758.589
Run   94: Team DPAV: 35856.379 | Evanescia: 28763.820 | Tribbie: 3448.387 | HuoHuo: 28.177 | ElationMC: 2698.768
Run   95: Team DPAV: 35568.442 | Evanescia: 28370.710 | Tribbie: 3551.988 | HuoHuo: 28.969 | ElationMC: 2705.266
Run   96: Team DPAV: 35056.924 | Evanescia: 28103.711 | Tribbie: 3392.690 | HuoHuo: 27.870 | ElationMC: 2570.462
Run   97: Team DPAV: 35612.431 | Evanescia: 28633.417 | Tribbie: 3401.132 | HuoHuo: 28.969 | ElationMC: 2631.686
Run   98: Team DPAV: 35515.236 | Evanescia: 28368.214 | Tribbie: 3555.352 | HuoHuo: 28.354 | ElationMC: 2646.090
Run   99: Team DPAV: 36266.448 | Evanescia: 29382.330 | Tribbie: 3404.113 | HuoHuo: 27.386 | ElationMC: 2535.393
Run  100: Team DPAV: 36856.064 | Evanescia: 29760.633 | Tribbie: 3436.188 | HuoHuo: 28.969 | ElationMC: 2718.766

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 35114.081
Average Evanescia DPAV: 28163.725
Average Tribbie DPAV: 3370.105
Average HuoHuo DPAV: 28.441
Average ElationMC DPAV: 2627.617

Min Team DPAV: 30312.586
Max Team DPAV: 37078.718
