Simulation Results - 100 runs
================================================================================

Run   76: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   77: Team DPAV: 13834.254 | Feixiao: 6533.723 | MortenaxBlade: 4231.687 | Cipher: 2910.960 | HuoHuo: 55.263
Run   78: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   79: Team DPAV: 15578.387 | Feixiao: 7488.741 | MortenaxBlade: 4695.458 | Cipher: 3214.440 | HuoHuo: 52.919
Run   80: Team DPAV: 15857.061 | Feixiao: 7633.633 | MortenaxBlade: 4745.306 | Cipher: 3297.194 | HuoHuo: 54.100
Run   81: Team DPAV: 15100.543 | Feixiao: 7167.106 | MortenaxBlade: 4767.752 | Cipher: 2985.682 | HuoHuo: 53.174
Run   82: Team DPAV: 15117.685 | Feixiao: 7661.192 | MortenaxBlade: 4135.699 | Cipher: 3139.963 | HuoHuo: 54.002
Run   83: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   84: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   85: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   86: Team DPAV: 15836.969 | Feixiao: 7625.979 | MortenaxBlade: 4759.437 | Cipher: 3295.776 | HuoHuo: 53.157
Run   87: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   88: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   89: Team DPAV: 15117.685 | Feixiao: 7661.192 | MortenaxBlade: 4135.699 | Cipher: 3139.963 | HuoHuo: 54.002
Run   90: Team DPAV: 15492.379 | Feixiao: 7491.962 | MortenaxBlade: 4789.781 | Cipher: 3030.633 | HuoHuo: 53.174
Run   91: Team DPAV: 15492.379 | Feixiao: 7491.962 | MortenaxBlade: 4789.781 | Cipher: 3030.633 | HuoHuo: 53.174
Run   92: Team DPAV: 13846.204 | Feixiao: 6533.723 | MortenaxBlade: 4238.532 | Cipher: 2915.890 | HuoHuo: 55.438
Run   93: Team DPAV: 15798.330 | Feixiao: 7634.474 | MortenaxBlade: 4692.897 | Cipher: 3290.031 | HuoHuo: 54.100
Run   94: Team DPAV: 15139.116 | Feixiao: 7633.633 | MortenaxBlade: 4140.478 | Cipher: 3184.077 | HuoHuo: 54.100
Run   95: Team DPAV: 13865.112 | Feixiao: 6646.032 | MortenaxBlade: 4106.320 | Cipher: 2932.757 | HuoHuo: 53.174
