Simulation Results - 100 runs
================================================================================

Run   91: Team DPAV: 43520.930 | MortenaxBlade: 40002.593 | Sunday: 0.000 | Tribbie: 3351.533 | HuoHuo: 30.600
Run   92: Team DPAV: 41457.212 | MortenaxBlade: 38033.252 | Sunday: 0.000 | Tribbie: 3239.076 | HuoHuo: 31.655
Run   93: Team DPAV: 43535.120 | MortenaxBlade: 39969.964 | Sunday: 0.000 | Tribbie: 3381.327 | HuoHuo: 30.600
Run   94: Team DPAV: 45269.216 | MortenaxBlade: 41713.583 | Sunday: 0.000 | Tribbie: 3379.261 | HuoHuo: 31.655
Run   95: Team DPAV: 44413.837 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3332.082 | HuoHuo: 30.600
Run   96: Team DPAV: 41866.051 | MortenaxBlade: 38404.149 | Sunday: 0.000 | Tribbie: 3278.073 | HuoHuo: 30.600
Run   97: Team DPAV: 46651.586 | MortenaxBlade: 42813.206 | Sunday: 0.000 | Tribbie: 3671.577 | HuoHuo: 30.600
Run   98: Team DPAV: 43763.402 | MortenaxBlade: 40240.004 | Sunday: 0.000 | Tribbie: 3356.595 | HuoHuo: 30.600
Run   99: Team DPAV: 44374.273 | MortenaxBlade: 40815.416 | Sunday: 0.000 | Tribbie: 3375.028 | HuoHuo: 30.600
Run  100: Team DPAV: 44433.288 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3351.533 | HuoHuo: 30.600

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 44567.487
Average MortenaxBlade DPAV: 40938.431
Average Sunday DPAV: 0.000
Average Tribbie DPAV: 3451.775
Average HuoHuo DPAV: 31.117

Min Team DPAV: 40335.036
Max Team DPAV: 56105.719
