Simulation Results - 100 runs
================================================================================

Run   91: Team DPAV: 14869.861 | Feixiao: 8261.930 | Robin: 1331.026 | Ashveil: 5156.288 | HuoHuo: 36.692
Run   92: Team DPAV: 15147.123 | Feixiao: 8262.107 | Robin: 1343.125 | Ashveil: 5421.273 | HuoHuo: 36.692
Run   93: Team DPAV: 14821.937 | Feixiao: 8276.612 | Robin: 1268.078 | Ashveil: 5156.063 | HuoHuo: 37.258
Run   94: Team DPAV: 14409.220 | Feixiao: 7968.849 | Robin: 1224.556 | Ashveil: 5094.632 | HuoHuo: 37.258
Run   95: Team DPAV: 14862.165 | Feixiao: 8200.377 | Robin: 1301.989 | Ashveil: 5239.181 | HuoHuo: 36.692
Run   96: Team DPAV: 14850.399 | Feixiao: 8276.790 | Robin: 1258.399 | Ashveil: 5194.026 | HuoHuo: 37.258
Run   97: Team DPAV: 14540.638 | Feixiao: 8026.771 | Robin: 1248.720 | Ashveil: 5144.531 | HuoHuo: 36.692
Run   98: Team DPAV: 14395.940 | Feixiao: 8030.579 | Robin: 1224.522 | Ashveil: 5019.656 | HuoHuo: 37.258
Run   99: Team DPAV: 12607.407 | Feixiao: 7123.751 | Robin: 975.286 | Ashveil: 4404.060 | HuoHuo: 32.606
Run  100: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 14225.890
Average Feixiao DPAV: 7918.319
Average Robin DPAV: 1214.679
Average Ashveil DPAV: 4975.829
Average HuoHuo DPAV: 36.070

Min Team DPAV: 12323.755
Max Team DPAV: 15147.123
