Simulation Results - 100 runs
================================================================================

Run   80: Team DPAV: 27865.750 | RinTohsaka: 24282.491 | Sparkle: 0.000 | MortenaxBlade: 3115.082 | Lingsha: 468.177
Run   81: Team DPAV: 25321.994 | RinTohsaka: 21338.625 | Sparkle: 0.000 | MortenaxBlade: 3407.685 | Lingsha: 575.684
Run   82: Team DPAV: 25085.952 | RinTohsaka: 21191.681 | Sparkle: 0.000 | MortenaxBlade: 3306.867 | Lingsha: 587.404
Run   83: Team DPAV: 28566.668 | RinTohsaka: 24489.465 | Sparkle: 0.000 | MortenaxBlade: 3496.088 | Lingsha: 581.116
Run   84: Team DPAV: 27980.033 | RinTohsaka: 23992.858 | Sparkle: 0.000 | MortenaxBlade: 3349.711 | Lingsha: 637.465
Run   85: Team DPAV: 25551.491 | RinTohsaka: 22125.620 | Sparkle: 0.000 | MortenaxBlade: 2918.403 | Lingsha: 507.469
Run   86: Team DPAV: 28450.685 | RinTohsaka: 24422.961 | Sparkle: 0.000 | MortenaxBlade: 3436.949 | Lingsha: 590.775
Run   87: Team DPAV: 24879.868 | RinTohsaka: 20969.029 | Sparkle: 0.000 | MortenaxBlade: 3321.065 | Lingsha: 589.774
Run   88: Team DPAV: 25873.426 | RinTohsaka: 21716.557 | Sparkle: 0.000 | MortenaxBlade: 3506.965 | Lingsha: 649.904
Run   89: Team DPAV: 26558.856 | RinTohsaka: 22424.874 | Sparkle: 0.000 | MortenaxBlade: 3538.854 | Lingsha: 595.128
Run   90: Team DPAV: 24795.468 | RinTohsaka: 20889.437 | Sparkle: 0.000 | MortenaxBlade: 3316.257 | Lingsha: 589.774
Run   91: Team DPAV: 29101.918 | RinTohsaka: 24954.841 | Sparkle: 0.000 | MortenaxBlade: 3549.579 | Lingsha: 597.498
Run   92: Team DPAV: 29541.856 | RinTohsaka: 25517.252 | Sparkle: 0.000 | MortenaxBlade: 3435.247 | Lingsha: 589.358
Run   93: Team DPAV: 24879.868 | RinTohsaka: 20969.029 | Sparkle: 0.000 | MortenaxBlade: 3321.065 | Lingsha: 589.774
Run   94: Team DPAV: 26985.024 | RinTohsaka: 23337.518 | Sparkle: 0.000 | MortenaxBlade: 3177.109 | Lingsha: 470.397
Run   95: Team DPAV: 24797.332 | RinTohsaka: 20809.845 | Sparkle: 0.000 | MortenaxBlade: 3405.092 | Lingsha: 582.396
Run   96: Team DPAV: 24795.468 | RinTohsaka: 20889.437 | Sparkle: 0.000 | MortenaxBlade: 3316.257 | Lingsha: 589.774
Run   97: Team DPAV: 25659.472 | RinTohsaka: 21703.750 | Sparkle: 0.000 | MortenaxBlade: 3318.894 | Lingsha: 636.828
Run   98: Team DPAV: 26161.234 | RinTohsaka: 22705.833 | Sparkle: 0.000 | MortenaxBlade: 3011.601 | Lingsha: 443.800
Run   99: Team DPAV: 25033.011 | RinTohsaka: 21206.448 | Sparkle: 0.000 | MortenaxBlade: 3246.016 | Lingsha: 580.547
Run  100: Team DPAV: 24679.490 | RinTohsaka: 20926.228 | Sparkle: 0.000 | MortenaxBlade: 3155.390 | Lingsha: 597.872

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 26623.663
Average RinTohsaka DPAV: 22719.625 Percentage: 85.336%
Average Sparkle DPAV: 0.000 Percentage: 0.000%
Average MortenaxBlade DPAV: 3345.064 Percentage: 12.564%
Average Lingsha DPAV: 558.975 Percentage: 2.100%

Min Team DPAV: 24369.348
Max Team DPAV: 30702.791
