Simulation Results - 100 runs
================================================================================

Run   90: Team DPAV: 32528.753 | Gilgamesh: 20485.821 | Ashveil: 6800.625 | Cipher: 4673.881 | HuoHuo: 0.000
Run   91: Team DPAV: 32520.728 | Gilgamesh: 19935.646 | Ashveil: 7268.209 | Cipher: 4722.849 | HuoHuo: 0.000
Run   92: Team DPAV: 33839.740 | Gilgamesh: 20840.891 | Ashveil: 7491.472 | Cipher: 4972.162 | HuoHuo: 0.000
Run   93: Team DPAV: 32947.688 | Gilgamesh: 20652.987 | Ashveil: 7009.707 | Cipher: 4731.783 | HuoHuo: 0.000
Run   94: Team DPAV: 32528.753 | Gilgamesh: 20485.821 | Ashveil: 6800.625 | Cipher: 4673.881 | HuoHuo: 0.000
Run   95: Team DPAV: 33437.858 | Gilgamesh: 19785.912 | Ashveil: 7137.630 | Cipher: 5945.890 | HuoHuo: 0.000
Run   96: Team DPAV: 34032.483 | Gilgamesh: 20076.649 | Ashveil: 7408.637 | Cipher: 5984.989 | HuoHuo: 0.000
Run   97: Team DPAV: 34355.512 | Gilgamesh: 20130.214 | Ashveil: 7522.571 | Cipher: 6129.109 | HuoHuo: 0.000
Run   98: Team DPAV: 33005.299 | Gilgamesh: 19961.289 | Ashveil: 7639.780 | Cipher: 4867.621 | HuoHuo: 0.000
Run   99: Team DPAV: 33223.052 | Gilgamesh: 20751.934 | Ashveil: 7105.241 | Cipher: 4830.662 | HuoHuo: 0.000
Run  100: Team DPAV: 33417.352 | Gilgamesh: 20221.987 | Ashveil: 6740.499 | Cipher: 5886.441 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 33427.042
Average Gilgamesh DPAV: 20218.676 Percentage: 60.486%
Average Ashveil DPAV: 7190.006 Percentage: 21.510%
Average Cipher DPAV: 5460.896 Percentage: 16.337%
Average HuoHuo DPAV: 0.000 Percentage: 0.000%

Min Team DPAV: 31080.131
Max Team DPAV: 34614.337
