Simulation Results - 100 runs
================================================================================

Run   95: Team DPAV: 23203.774 | RinTohsaka: 22343.403 | Sparkle: 0.000 | RuanMei: 811.672 | HuoHuo: 48.698
Run   96: Team DPAV: 23738.139 | RinTohsaka: 22913.094 | Sparkle: 0.000 | RuanMei: 775.521 | HuoHuo: 49.524
Run   97: Team DPAV: 24759.969 | RinTohsaka: 23891.611 | Sparkle: 0.000 | RuanMei: 818.833 | HuoHuo: 49.524
Run   98: Team DPAV: 26974.497 | RinTohsaka: 26110.745 | Sparkle: 0.000 | RuanMei: 814.228 | HuoHuo: 49.524
Run   99: Team DPAV: 23885.262 | RinTohsaka: 23026.835 | Sparkle: 0.000 | RuanMei: 809.729 | HuoHuo: 48.698
Run  100: Team DPAV: 27855.860 | RinTohsaka: 27010.517 | Sparkle: 0.000 | RuanMei: 795.819 | HuoHuo: 49.524

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 25095.948
Average RinTohsaka DPAV: 24222.376 Percentage: 96.519%
Average Sparkle DPAV: 0.000 Percentage: 0.000%
Average RuanMei DPAV: 823.965 Percentage: 3.283%
Average HuoHuo DPAV: 49.607 Percentage: 0.198%

Min Team DPAV: 22284.881
Max Team DPAV: 28338.181
