Simulation Results - 100 runs
================================================================================

Run   96: Team DPAV: 33209.945 | Saber: 17863.344 | Gilgamesh: 14442.073 | RuanMei: 560.860 | HuoHuo: 35.123
Run   97: Team DPAV: 32975.423 | Saber: 18920.440 | Gilgamesh: 13238.270 | RuanMei: 509.609 | HuoHuo: 37.068
Run   98: Team DPAV: 34550.773 | Saber: 18394.377 | Gilgamesh: 15284.095 | RuanMei: 506.309 | HuoHuo: 37.068
Run   99: Team DPAV: 31940.899 | Saber: 17869.898 | Gilgamesh: 13180.474 | RuanMei: 564.985 | HuoHuo: 35.123
Run  100: Team DPAV: 33150.430 | Saber: 17254.153 | Gilgamesh: 14982.074 | RuanMei: 559.210 | HuoHuo: 35.123

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 33149.187
Average Saber DPAV: 17829.259 Percentage: 53.785%
Average Gilgamesh DPAV: 14433.050 Percentage: 43.540%
Average RuanMei DPAV: 536.269 Percentage: 1.618%
Average HuoHuo DPAV: 38.940 Percentage: 0.117%

Min Team DPAV: 25888.911
Max Team DPAV: 34874.986
