Simulation Results - 100 runs
================================================================================

Run   82: Team DPAV: 40966.096 | Saber: 20510.826 | Gilgamesh: 15802.992 | MortenaxBlade: 4006.661 | Lingsha: 394.910
Run   83: Team DPAV: 39968.391 | Saber: 19736.027 | Gilgamesh: 15967.737 | MortenaxBlade: 3690.768 | Lingsha: 323.153
Run   84: Team DPAV: 40774.563 | Saber: 20329.353 | Gilgamesh: 15808.368 | MortenaxBlade: 4011.569 | Lingsha: 374.568
Run   85: Team DPAV: 40373.071 | Saber: 20491.015 | Gilgamesh: 15284.839 | MortenaxBlade: 3972.201 | Lingsha: 374.310
Run   86: Team DPAV: 39496.670 | Saber: 19223.875 | Gilgamesh: 15922.913 | MortenaxBlade: 3797.096 | Lingsha: 304.440
Run   87: Team DPAV: 40373.071 | Saber: 20491.015 | Gilgamesh: 15284.839 | MortenaxBlade: 3972.201 | Lingsha: 374.310
Run   88: Team DPAV: 37615.957 | Saber: 19245.351 | Gilgamesh: 14826.800 | MortenaxBlade: 2990.684 | Lingsha: 302.417
Run   89: Team DPAV: 39496.670 | Saber: 19223.875 | Gilgamesh: 15922.913 | MortenaxBlade: 3797.096 | Lingsha: 304.440
Run   90: Team DPAV: 39002.654 | Saber: 19259.121 | Gilgamesh: 15308.817 | MortenaxBlade: 3805.610 | Lingsha: 378.400
Run   91: Team DPAV: 38745.973 | Saber: 19223.875 | Gilgamesh: 15922.913 | MortenaxBlade: 3030.908 | Lingsha: 319.932
Run   92: Team DPAV: 40004.640 | Saber: 19698.779 | Gilgamesh: 15942.325 | MortenaxBlade: 3754.018 | Lingsha: 361.172
Run   93: Team DPAV: 36779.822 | Saber: 18051.773 | Gilgamesh: 15029.465 | MortenaxBlade: 3112.659 | Lingsha: 337.580
Run   94: Team DPAV: 38921.385 | Saber: 18910.767 | Gilgamesh: 15689.769 | MortenaxBlade: 3750.766 | Lingsha: 319.377
Run   95: Team DPAV: 40666.518 | Saber: 20225.529 | Gilgamesh: 16059.320 | MortenaxBlade: 3801.050 | Lingsha: 332.275
Run   96: Team DPAV: 38834.454 | Saber: 18930.653 | Gilgamesh: 15732.919 | MortenaxBlade: 3617.438 | Lingsha: 305.099
Run   97: Team DPAV: 37152.301 | Saber: 18131.714 | Gilgamesh: 15579.643 | MortenaxBlade: 2872.667 | Lingsha: 319.932
Run   98: Team DPAV: 40813.779 | Saber: 20406.725 | Gilgamesh: 15821.321 | MortenaxBlade: 3956.627 | Lingsha: 378.400
Run   99: Team DPAV: 38567.082 | Saber: 19044.984 | Gilgamesh: 15922.913 | MortenaxBlade: 3030.908 | Lingsha: 319.932
Run  100: Team DPAV: 38732.962 | Saber: 18168.623 | Gilgamesh: 15728.952 | MortenaxBlade: 4184.434 | Lingsha: 400.248

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 39163.161
Average Saber DPAV: 19272.253 Percentage: 49.210%
Average Gilgamesh DPAV: 15671.931 Percentage: 40.017%
Average MortenaxBlade DPAV: 3638.264 Percentage: 9.290%
Average Lingsha DPAV: 331.447 Percentage: 0.846%

Min Team DPAV: 36440.308
Max Team DPAV: 43940.877
