Simulation Results - 100 runs
================================================================================

Run   90: Team DPAV: 20670.347 | Acheron: 14826.247 | MortenaxBlade: 4586.098 | RuanMei: 952.953 | HuoHuo: 42.136
Run   91: Team DPAV: 20670.347 | Acheron: 14826.247 | MortenaxBlade: 4586.098 | RuanMei: 952.953 | HuoHuo: 42.136
Run   92: Team DPAV: 19245.536 | Acheron: 13639.359 | MortenaxBlade: 4379.907 | RuanMei: 925.077 | HuoHuo: 42.136
Run   93: Team DPAV: 18152.032 | Acheron: 13083.316 | MortenaxBlade: 3905.494 | RuanMei: 862.788 | HuoHuo: 41.071
Run   94: Team DPAV: 20606.571 | Acheron: 14826.247 | MortenaxBlade: 4529.679 | RuanMei: 952.953 | HuoHuo: 42.136
Run   95: Team DPAV: 19552.973 | Acheron: 13787.872 | MortenaxBlade: 4439.883 | RuanMei: 1023.714 | HuoHuo: 41.430
Run   96: Team DPAV: 19212.078 | Acheron: 13761.693 | MortenaxBlade: 4221.757 | RuanMei: 915.747 | HuoHuo: 49.449
Run   97: Team DPAV: 19514.877 | Acheron: 13752.353 | MortenaxBlade: 4433.116 | RuanMei: 1015.532 | HuoHuo: 43.298
Run   98: Team DPAV: 18992.934 | Acheron: 13787.872 | MortenaxBlade: 4007.458 | RuanMei: 921.485 | HuoHuo: 41.430
Run   99: Team DPAV: 20965.184 | Acheron: 15618.589 | MortenaxBlade: 3872.700 | RuanMei: 1118.213 | HuoHuo: 41.071
Run  100: Team DPAV: 18973.806 | Acheron: 13627.073 | MortenaxBlade: 4141.369 | RuanMei: 919.689 | HuoHuo: 40.268

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 19577.882
Average Acheron DPAV: 14100.160
Average MortenaxBlade DPAV: 4220.467
Average RuanMei DPAV: 957.162
Average HuoHuo DPAV: 42.775

Min Team DPAV: 17635.805
Max Team DPAV: 22034.275
